视频ID,视频标题,自定义ID,IP地址,观众地理位置,观看时长,消耗流量,播放终端,操作系统,浏览器,观看地址,观众昵称,开始时间
d1977c4d68398a1af682e5c7a591a061_d,,08bccb0ea8c9e7ae32d5034214cfb087,182.101.48.122,江西 南昌,00:00:56,0,移动端,Android,Chrome,https://m.luffycity.com/study/videocourse?id=1917,,2018-08-20 00:07:51
d1977c4d68d89b7efd1470ce7d5cdea7_d,,10235edd8a628e91088d76cb155f0269,123.115.91.96,北京 北京,00:01:14,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/2231,,2018-08-20 00:06:39
d1977c4d68e02fbf67cf36f932e81746_d,19-初次使用虚拟机常见问题及解决方法_batch,7fd51c89695b098a88a38f57ae4bfb2d,117.13.72.128,天津 天津,00:01:53,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/2145,,2018-08-20 00:07:50
d1977c4d681d920583a2b7402414b599_d,18-创建虚拟机流程（下）_batch,7fd51c89695b098a88a38f57ae4bfb2d,117.13.72.128,天津 天津,00:01:17,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/2144,,2018-08-20 00:08:00
d1977c4d680b65981f8251a0ece43fe3_d,17-创建虚拟机流程（上）_batch,7fd51c89695b098a88a38f57ae4bfb2d,117.13.72.128,天津 天津,00:00:11,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/2143,,2018-08-20 00:07:08
d1977c4d6813873a7dd8873bccbf2a98_d,03-五层协议详解,,183.211.162.21,江苏 镇江,00:13:10,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/801,,2018-08-20 00:08:16
d1977c4d68ad610d8131a29e11de873c_d,03-关闭SELinux_batch,c370902648af426508967828951e5eeb,14.152.68.94,广东 广州,00:05:16,0,移动端,Android Mobile,UC,https://m.luffycity.com/study/videocourse?id=741,,2018-08-20 00:08:30
d1977c4d68e02fbf67cf36f932e81746_d,19-初次使用虚拟机常见问题及解决方法_batch,7fd51c89695b098a88a38f57ae4bfb2d,117.13.72.128,天津 天津,00:00:10,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/2145,,2018-08-20 00:02:01
d1977c4d687723d98ba6314376a15fcd_d,20-企业级标准安装centos系统（上）_batch,7fd51c89695b098a88a38f57ae4bfb2d,117.13.72.128,天津 天津,00:00:07,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/2146,,2018-08-20 00:08:23
d1977c4d68ef7fd33c321fce771ab3f5_d,,,182.101.48.122,江西 南昌,00:02:23,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/1932,,2018-08-20 00:08:05
