视频ID,视频标题,自定义ID,IP地址,观众地理位置,观看时长,消耗流量,播放终端,操作系统,浏览器,观看地址,观众昵称,开始时间
d1977c4d68dd1307815b7e4e5d5de663_d,21作业介绍_batch,,120.230.99.164,中国 未知,00:13:44,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/825,,2018-06-12 00:04:30
d1977c4d68798d50d2b817ab4c01407d_d,20基于udp协议的套接字介绍_batch,,120.230.99.164,中国 未知,00:03:46,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/825,,2018-06-12 00:06:22
d1977c4d68de4a7268e449a847b49963_d,28自定义元类控制类的创建_batch,,114.227.159.119,江苏 常州,00:11:50,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/669,,2018-06-12 00:03:27
d1977c4d6851f910265450e3ac08f35e_d,09 面向对象可扩展性总结_batch,01f8343e378b1ae8d0b66c992e7f7563,125.80.229.78,重庆 重庆,00:01:26,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/408,,2018-06-12 00:07:47
d1977c4d68a49ff3626317ca31e99847_d,08 python中一切皆对象_batch,01f8343e378b1ae8d0b66c992e7f7563,125.80.229.78,重庆 重庆,00:07:10,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/408,,2018-06-12 00:02:11
d1977c4d68818b331ef47d66ee5b6400_d,13粘包底层原理分析_batch,5573af618470813bb728095709fe61ba,124.236.237.166,河北 石家庄,00:47:17,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/820,,2018-06-11 23:59:29
d1977c4d688d94bf924c826838c71549_d,27元类介绍_batch,,114.227.159.119,江苏 常州,00:20:44,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/669,,2018-06-11 23:17:01
d1977c4d688d94bf924c826838c71549_d,27元类介绍_batch,,114.227.159.119,江苏 常州,00:00:04,0,PC端,Windows,Chrome,https://www.luffycity.com/micro/play/668,,2018-06-11 23:17:20
d1977c4d6869587bb5a882f101117049_d,07-在简单套接字基础上加上通信循环,782a2fb2967ca1dedf90659cf5e820f7,202.109.166.220,江西 吉安,00:00:01,0,PC端,Windows,猎豹,https://www.luffycity.com/micro/play/805,,2018-06-11 23:15:38
d1977c4d687caf87c4eb2193b41ce632_d,32什么是异常处理_batch,782a2fb2967ca1dedf90659cf5e820f7,202.109.166.222,江西 吉安,00:00:03,0,PC端,Windows,猎豹,https://www.luffycity.com/micro/play/829,,2018-06-11 23:17:25
d1977c4d688bdf5ebe7790360a8322d4_d,04 python s5 day 27 ftp项目制定标准定长消息头,745a6e215d5cc48a825f8cff8f2ef431,211.144.7.44,北京 北京,00:34:06,0,PC端,Windows,Firefox,https://www.luffycity.com/micro/play/828,,2018-06-11 23:17:01
d1977c4d680f662106e0fa4bf12199f0_d,12继承与重用性_batch,782a2fb2967ca1dedf90659cf5e820f7,202.109.166.223,江西 吉安,00:18:13,0,PC端,Windows,猎豹,https://www.luffycity.com/micro/play/574,,2018-06-11 23:21:11
d1977c4d68d6bb302d647a44d2d7e062_d,06基于socket实现简单套接字通信,7d26f4d9ede7c5f92c7013dcf5a42b43,123.138.233.174,陕西 汉中,00:00:10,0,移动端,Android Mobile,Chrome Mobile,https://m.luffycity.com/study/videocourse?id=804,,2018-06-11 23:17:52
